news_id,text
1602360243860410614,"용인시 도시계획위, 임대형 기숙사 건립 논란에 “법령 따른 정당한 심의” 반박 용인특례시 지난 30일 도시계획위원회가 최근 한 민간 사업자가 임대형 기숙사 건립과 관련해 제기한 주장에 대해 “사실과 다른 왜곡된 주장”이라고 공식 반박했다.

해당 사업자는 최근 일부 언론에 입장문을 내고, “법적 요건을 충족했음에도 ‘진입도로 길이 50m 초과’를 이유로 도시계획위원회 심의 대상으로 지정됐다”고 주장했다.

그러나 시 도시계획위원회는 국토의 계획 및 이용에 관한 법률 시행령 제57조를 근거로 “진입도로가 50m를 초과할 경우 도시계획위원회 심의 대상이 되는 것은 명백한 법령 규정”이라며 이 같은 주장이 사실과 다르다고 지적했다."
1602330660574466537,"용인시 ""임대형 기숙사 도시계획심의, 정당한 절차 따라"" 용인시는 해당 사업자가 제기한 '진입도로 길이 50m 초과' 심의 사유가 부당하다는 주장에 대해 법적 근거를 명확히 제시하며 반박했다.

용인시 도시계획위원회는 '국토의 계획 및 이용에 관한 법률' 시행령 제57조에 따라 진입도로 길이가 50m를 넘는 경우 도시계획위원회 심의를 받도록 규정하고 있다고 밝혔다.

또한, 사업자가 ""사업에 직접적 이해관계를 가진 인사들이 심의에 참여한다""는 주장에 대해서도 용인시는 도시계획위원회가 민간 전문가로 구성되며, 이해관계자는 심의에서 배제된다고 반박했다."
1602283019190800769,"용인시, 지산그룹 임대형 기숙사 심의 논란에 “법 따라 정당 심의” 용인시는 지산그룹이 “법적으로 문제 없는데도 '진입도로 길이 50m 초과'를 이유로 도시계획위원회 심의 대상으로 지정됐다”고 주장한 데 대해, 해당 사업의 진입도로가 260m로 국토계획법 시행령 제57조에 따라 심의 대상이 맞으며, 이 절차는 법에 따른 정당한 조치라고 밝혔다.

도시계획위원회 관계자는 “법적 요건을 갖추지 않으면 심의 대상이 될 수 없다”며 “심의는 공익성과 적정성을 검토하는 기능이며, 불만스러운 이유로 절차를 '규제'라고 매도하는 것은 부적절하다”고 강조했다.

시 도시계획위원회 관계자는 “심의 대상 지정은 법적 절차에 따른 것으로, 공익과 계획적 국토 관리 차원에서 필수적인 과정”이라며 “사업자가 원하는 대로 진행되지 않는다고 절차를 규제로 몰아가는 것은 부적절하다”고 말했다."
1602132345522098822,"“성과급 1억씩 달라”...SK하이닉스 노조 요구에 난감한 사측 [팩토리 팝콘] 쟁점은 ‘영업이익 10%를 전액 성과급으로 지급하라’는 노조 측과 ‘성과급 재원의 기준일 뿐’이라는 사측의 해석 차이다.

노조 요구대로 영업이익의 10%를 모두 임직원과 나눌 경우 올해 예상 영업이익 30조원을 기준으로 약 3조원이 성과급 재원이 된다.

당시 양측은 “영업이익 10%를 성과급 재원으로 활용한다”고 명시했다."
1602116849238151488,"용인시 “도시계획심의 국토계획법에 따른 법적 절차다” - 국토계획법 시행령 따라 진입도로 길이 50m 초과하면 심의 대상…심의 받는 것도 법적 요건 충족해야 하는 사항 - 도시계획위원회를 규제 수단이라며 비난한 업자의 잘못된 주장 반박…관계 법령 따라 난개발 방지 등을 위해 전문가 등이 모인 도시계획위원회 심의 꼭 필요 - 7월 말까지 임대형기숙사 16곳 6076실 허가 받았거나 진행 중…시, 지난해부터 숙소 공급 차질 없도록 TF 운영 중 용인시청 전경 〔스포츠서울│용인=좌승훈기자〕경기 용인시는 30일 보도자료를 내고 시 도시계획위원회가 최근 한 사업자가 임대형 기숙사 건립과 관련해 입장을 낸 것에 대해 사실과 다르다고 반박 했다고 밝혔다.

시 도시계획위는 이에 대해 ‘국토의 계획 및 이용에 관한 법률’(국토계획법) 시행령 제57조는 진입도로 길이 50m를 ..."
1602107518576889977,"[팩토리 팝콘] 역대급 실적 SK하이닉스 노조 ""성과급 1억원 달라"" 쟁점은 '영업이익 10%를 전액 성과급으로 지급하라'는 노조 측과 '성과급 재원의 기준일 뿐'이라는 사측의 해석 차이다.

노조 요구대로 영업이익의 10%를 모두 임직원과 나눌 경우 올해 예상 영업이익 30조원을 기준으로 3조원이 성과급 재원이 된다.

당시 양측은 ""영업이익 10%를 성과급 재원으로 활용한다""고 명시했다."
1602058064423424459,"[단독] 싸이닉솔루션, 중동에 반도체 디자인센터 구축 SK하이닉스 파운드리 자회사 협력사인 싸이닉솔루션이 중동에 반도체 디자인 센터를 구축하는 것으로 확인됐습니다.

향후 오만에서 싸이닉솔루션의 자체 개발 센서를 양산하는 팹도 만들 계획이라고 설명했습니다.

싸이닉솔루션이 개발하는 센서가 무엇입니까?"
1602054648930373919,"[기고] 'SK하이닉스 신화의 씨앗' 말단 공무원의 30년 전 결단 이 위대한 성취를 바라보며, 필자는 SK하이닉스가 이천 땅에서 태동하게 된 어느 운명적인 날의 기억을 꺼내 보려 한다.

또 SK하이닉스가 이천에서 공장 운영을 편하게 할 수 있도록 복지시설 등 지원을 적극적으로 협조해 주시기 바란다.

이천의 자랑이자 대한민국의 희망인 SK하이닉스가 세계 1위의 초일류 기업으로 우뚝 서는 그날까지, 저 또한 이천시민의 한 사람으로서 가슴 벅찬 응원을 보낼 것이다."
1602017763432468516,"[단독]알고보니 네번째‥TSMC 모리스 창 만난 韓 외교관 이은호 전 타이베이 대표부 대표, 이임 인사 위해 만나 이례적으로 2년간 네 번의 만남 세계 최대 파운드리(반도체 위탁생산) 기업 TSMC의 창업자 모리스 창과 한국 외교관의 교류가 뒤늦게 주목받고 있다.

이은호 전 주타이베이 대표부 대표는 지난 28일 아시아경제와 만나 ""귀국 인사를 전하기 위해 모리스 창을 다시 찾았다""고 밝혔다.

사진은 모리스 창 사무실에서 촬영된 것으로, 이 전 대표가 직접 방문해 인사를 나누는 장면이 담겼다."
1602325570375520805,"SK증권 ""HK이노엔, 하반기 실적 턴어라운드"" [Why 바이오] 케이캡, 美 FDA 허가 신청 등 글로벌 확장 코로나 백신 NIP 포함··· 외형성장 기대감 HK이노엔(195940)이 2분기 기대에 못 미친 영업이익에도 불구하고 하반기 실적 반등 기대감을 키우고 있다.

최근에는 국가예방접종사업(NIP)에 포함된 코로나19 백신 매출이 반영되며 실적에 숨통이 트일 전망이다.

또 3분기부터는 국가예방접종사업(NIP)에 포함된 코로나19 백신 매출도 실적에 본격 반영된다."
1601965694503751858,"SK증권 ""크래프톤, 올해 영업익 추정치 하향…목표가↓"" 이민영 기자 = SK증권은 30일 게임사 크래프톤에 대해 아직 가시화되고 있는 신작이 없다며 올해 실적 추정치를 하향 조정하고 목표주가를 50만원에서 45만원으로 내렸다.

이어 ""최근 신규 IP(지적재산) 확보 및 자체 개발 인력 확대 등으로 라인업 확장을 꾀하고 있지만 아직 유의미한 성과를 확인하긴 어렵다""며 ""2029년까지 신규 IP 관련 매출 목표를 3조원으로 제시했는데 아직 가시화되고 있는 신작이 없어 목표 달성 가능성에 대한 판단이 어려운 상황""이라고 지적했다.

남 연구원은 ""3분기 에스파, 부가티 콜라보(협업) 등을 계획하고 있어 콘텐츠 양은 풍부해졌지만, 올해 신작 관련 매출이 거의 없어 또다시 PUBG(게임 배틀그라운드) IP에 대한 의존도가 높아진 상황이다."
1601670870177288653,"체력 회복한 신한투자증권, 지주 계열 중 돋보인 실적 상반기 영업이익 작년보다 16.4% 증가 2분기 영업이익 1분기 대비 70% 급증 브로커리지, IB, 자기매매 고른 성장세 라임·옵티머스 펀드와 상장지수펀드(ETF) 유동성공급자(LP) 사고 등 연이은 악재로 흔들렸던 신한투자증권이 실적 회복에 성공했다.

신한투자증권의 올해 상반기 연결기준 영업이익은 3185억원, 당기순이익은 2589억원으로 전년 동기 대비 각각 16.4%, 25.0% 증가했다.

신한투자증권의 상반기 실적을 부문별로 따져보면, 위탁수수료 수익이 2066억원으로 작년 상반기보다 2.4% 늘어나며 실적 회복을 견인했다."
1601215901359804472,"국내 증시, 단기 급등이지만 과열로 보기 어려워 국내 증시가 4월 저점 이후 상승 흐름을 이어가고 있다.

이로 인해 글로벌 자금 흐름은 실물경제 회복 국가와 제도 안정성이 높은 시장으로 재배치되는 양상을 보인다.

최근 국내 증시에 대한 외국인 순매수 역시 이 흐름의 목적으로 해석할 수 있다."
1601212861416345991,"증시 호조에 IPO 문턱 높여도 '활기'…상장 1개월 평균 수익률 50% 7월 들어 IPO 규정이 강화됐지만 새내기주의 1개월 평균 수익률이 48%에 달하는 등 증시 분위기가 살아나면서 상장을 준비하는 기업이 늘고 있다.

스팩(기업인수목적회사)을 제외한 올해 새내기주 42종목 중에서 상장 후 1개월이 지난 기업들의 주가 수익률을 평균 낸 수치다.

지난해 새내기주의 1개월 수익률은 평균 3.43%에 그쳤다."
1602371147285008594,"에너지연, 캐나다와 ‘배터리 핵심광물’ 공급망 확대 협력 한국과 캐나다가 배터리 핵심광물 공급망 확대를 위한 협력을 강화한다.

에너지연은 2022년 캐나다국립연구위원회(NRC), 캐나다 천연자원부(NRCan)와 주최한 워크숍을 시작으로 올해까지 4회째 배터리 기술 특화 워크숍을 지속 개최하고 있다.

워크숍에 앞서 에너지연은 NRC, NRCan와의 미팅을 통해 한·캐나다 배터리 기술 공동연구센터의 설립 가능성을 점검하고, 정부가 주도하는 공동 연구펀드 조성 등을 논의했다."
1602317453101240467,"""캐즘 비켜!"" 미래첨단소재, 무수리튬 4.5만t 수주 미래나노텍그룹 이차전지 소재 계열사 국내 양극재 제조사에 3년간 납품 ""미중 갈등, 이차전지 소재 한국산 선호"" [파이낸셜뉴스] 미래첨단소재가 국내 대형 양극재 제조사에 4만5000t 규모로 무수리튬을 공급하기로 했다.

31일 미래나노텍그룹에 따르면 이차전지 소재 계열사 미래첨단소재가 이번 계약을 통해 내년 상반기부터 해당 기업에 3년간 무수리튬을 납품할 예정이다.

미래첨단소재 관계자는 ""무수리튬 양산을 본격화하면서 국내외 수요 대응력이 크게 강화됐다""며 ""올 하반기 생산능력 증설과 함께 양극재 첨가제를 포함한 주요 소재군 공급망도 글로벌 시장으로 확대해 나갈 것""이라고 말했다."
1602111800927719701,"에너지연, '제4회 한국-캐나다 배터리 R&D 워크숍' 성료 에너지연은 2022년 캐나다국립연구위원회(NRC), 캐나다 천연자원부(NRCan)와 주최한 워크숍을 시작으로 올해까지 4회째 배터리 기술 특화 워크숍을 지속 개최하고 있다.

에너지연이 주관한 이번 워크숍에는 국가과학기술연구회, NRC 등 양국의 대표 기관과 포스코퓨처엠, 맥길대학교 등 총 18개의 산·학·연이 참가해 리튬이온 배터리 음극재, 전고체 전지, 재활용 기술, 핵심 광물 공급망 등 배터리 분야의 핵심 현안을 중점 논의했다.

NRC CEI는 캐나다의 에너지와 산업 전환을 담당하는 센터로서, 향후 에너지연과 수소, 배터리 분야의 국제 공동연구, 인력 교류 등을 적극 추진하고 협력 연구분야도 확대할 계획이다."
1602101978320736270,"[사이언스게시판] 기계연, 캐나다 천연자원부와 MOU 체결 外 ■ 한국기계연구원은 자연순환과 에너지 전환 등 청정기술 분야 국제 공동 연구 기반을 마련하기 위해 캐나다 연방정부 산하 천연자원부(NRCan)와 양해각서(MOU)를 체결했다고 30일 밝혔다.

■ 한국에너지기술연구원(에너지연)은 29~30일(현지 시간) 캐나다 몬트리올에서 '제4회 한국-캐나다 배터리 R&D 워크숍'을 개최했다고 30일 밝혔다.

에너지연이 주관한 이번 워크숍에는 국가과학기술연구회, 캐나다국립연구위원회(NRC) 등 양국의 대표 기관과 포스코퓨처엠, 맥길대 등 총 18개 산학연이 참가했다."
1602097614541688885,"[과학게시판] 과기정통부, 美 NIST와 전략기술 표준 연구 착수 外 이번 행사는 31일 오전 11시 개막식을 시작으로, 제38회 대한민국학생발명전시회 시상식 및 전시회, 대한민국 학생창의력 챔피언대회 본선 및 시상식, 발명·지식재산 교육 및 체험 프로그램 등 다채로운 행사들이 진행될 예정이다.

■한국연구재단과 소상공인시장진흥공단은 29일 대전시 유성구 소재 소상공인시장진흥공단 본사에서 ‘지역발전 생태계 구축을 위한 RISE 체계 연계 업무협약’을 체결했다.

한국연구재단은 지역별 RISE 센터 및 RISE 선정대학과 연계해 소상공인 지원 및 전통시장 활성화를 위한 협업모델 기획, 컨설팅, 홍보 등을 지원할 예정이다."
